text,label
"ভবিষ্যতের সুযোগগুলো নিয়ে আমি উচ্ছ্বসিত।",happy
"এটি একটি সত্যিই দারুণ অভিজ্ঞতা।",happy
"যেভাবে সবকিছু ঘটেছে, তাতে আমি খুবই খুশি।",happy
"আজ আমি খুবই উত্তেজিত অনুভব করছি।",happy
"সবকিছু যেমন পরিকল্পনা করা হয়েছিল, তেমনই চলছে।",happy
"অগ্রগতির জন্য আমি খুবই সন্তুষ্ট।",happy
"ইতিবাচক প্রতিক্রিয়া আমাকে খুবই আনন্দিত করেছে।",happy
"এই মুহূর্তটি আমি পুরোপুরি উপভোগ করছি।",happy
"আজকের দিনটি আনন্দ ও উত্তেজনায় পূর্ণ ছিল।",happy
"সবকিছু ভালভাবে চলায় আমি খুবই সন্তুষ্ট।",happy
"এই অর্জন আমাকে অনেক খুশি করেছে।",happy
"ভবিষ্যতের জন্য আমি খুবই আশাবাদী।",happy
"আজ একটি দুর্দান্ত দিন এবং আমি এটি ভালোবাসি।",happy
"খবরটি আমাকে সত্যিই খুশি করেছে।",happy
"আজকের দিনটি খুবই ভাল।",happy
"এই সফলতা আমার জন্য অনেক আনন্দের।",happy
"সবকিছু চমৎকারভাবে মিলছে।",happy
"আমি অত্যন্ত খুশি এই পরিস্থিতি নিয়ে।",happy
"আজকের দিনটি একদম ভালো।",happy
"এই ঘটনা আমাকে সত্যিই আনন্দিত করেছে।",happy
"আজকের দিনটি অনেক সুখময়।",happy
"আজকের দিনটি বেশ সুন্দর।",happy
"আজ আমি খুবই ভাল অবস্থায় আছি।",happy
"সবকিছু পরিকল্পনার চেয়ে আরও ভাল হয়েছে।",happy
"এই পরিস্থিতি আমাকে অত্যন্ত খুশি করেছে।",happy
"আজকের দিনটি আনন্দে পূর্ণ।",happy
"এই খবরটি আমার দিনকে সুন্দর করেছে।",happy
"আমি খুবই সন্তুষ্ট এই অগ্রগতির জন্য।",happy
"আজকের দিনটি সত্যিই সুখময়।",happy
"এই অর্জন আমাকে সত্যিই আনন্দিত করেছে।",happy
"আজকের দিনটি আনন্দের।",happy
"আমি এই পরিস্থিতি নিয়ে খুবই খুশি।",happy
"আজকের দিনটি খুবই ভালো ছিল।",happy
"আমি অত্যন্ত খুশি এই সফলতা নিয়ে।",happy
"সবকিছু চমৎকারভাবে চলছে।",happy
"আজকের দিনটি অনেক আনন্দময়।",happy
"এই দিনটি আমার জন্য সত্যিই বিশেষ।",happy
"আজ আমি খুবই ভাল অনুভব করছি।",happy
"আজ আমি কিছুটা মন খারাপ অনুভব করছি।",sad
"এই পরিস্থিতি আমাকে খুবই দুঃখিত করেছে।",sad
"আমি এখন খুবই বিষণ্ণ অনুভব করছি।",sad
"এখন আমি খুবই দুঃখিত।",sad
"এই খবরটি আমাকে গভীরভাবে দুঃখিত করেছে।",sad
"সবকিছু আমার জন্য ঠিকঠাক হচ্ছে না।",sad
"আমি খুবই নিরাশ অনুভব করছি।",sad
"আজকের দিনটি আমার জন্য কঠিন ছিল।",sad
"এই পরিস্থিতি আমাকে গভীরভাবে দুঃখিত করেছে।",sad
"আজকের দিনটি আমার জন্য খুবই মনখারাপ।",sad
"আমার মনে হচ্ছে আমি একেবারে খারাপ অবস্থায় আছি।",sad
"আজকের দিনটি আমার জন্য খুবই দুঃখজনক।",sad
"আমি অনেক দুঃখিত অনুভব করছি।",sad
"আজকের ঘটনা আমাকে গভীরভাবে দুঃখিত করেছে।",sad
"এই পরিস্থিতি আমাকে অনেক কষ্ট দিয়েছে।",sad
"আজকের দিনটি দুঃখজনক।",sad
"আমি এখন খুবই হতাশ।",sad
"এই খবরটি আমাকে খুবই কষ্ট দিয়েছে।",sad
"আজকের দিনটি আমার জন্য দুঃখময়।",sad
"আমার মন আজকে খুবই ভারাক্রান্ত।",sad
"আজকের পরিস্থিতি আমাকে খুবই দুঃখিত করেছে।",sad
"আজকের দিনটি আমার জন্য অনেক কষ্টকর।",sad
"আমি খুবই দুঃখিত আজ।",sad
"আজকের পরিস্থিতি আমাকে গভীরভাবে দুঃখিত করেছে।",sad
"আজকের দিনটি খুবই দুঃখজনক।",sad
"আমার মনে হচ্ছে আমি একেবারে অবসন্ন।",sad
"আজকের দিনটি আমার জন্য বেশ কষ্টকর।",sad
"এই পরিস্থিতি আমাকে গভীরভাবে দুঃখিত করেছে।",sad
"আজকের দিনটি আমার জন্য খুবই দুঃখজনক।",sad
"আমি আজকেও খুবই হতাশ।",sad
"আজকের দিনটি আমার জন্য অত্যন্ত কষ্টকর।",sad
"আমার মন আজকের জন্য খুবই ভারাক্রান্ত।",sad
"আজকের দিনটি দুঃখময়।",sad
"আমি এখন খুবই দুঃখিত।",sad
"এই পরিস্থিতি আমাকে কষ্ট দিয়েছে।",sad
"আজকের দিনটি খুবই মনখারাপ।",sad
"এই খবরটি আমাকে খুবই দুঃখিত করেছে।",sad
"আজকের দিনটি দুঃখময় ছিল।",sad
"আমি আজকের জন্য খুবই দুঃখিত।",sad
"আজকের দিনটি আমাকে খুবই দুঃখিত করেছে।",sad
"এই পরিস্থিতি আমাকে খুবই কষ্ট দিয়েছে।",sad
"আজকের দিনটি আমার জন্য দুঃখজনক।",sad
"আজকের দিনটি খুবই দুঃখজনক।",sad
"আজকের দিনটি আমার জন্য অত্যন্ত কষ্টকর।",sad
"আমি আজকের দিনটি খুবই দুঃখিত।",sad
"এই খবরটি আমাকে খুবই দুঃখিত করেছে।",sad
"আজকের দিনটি খুবই বিষণ্ণ।",sad
"আজকের দিনটি আমার জন্য দুঃখময়।",sad
"আমি আজকের জন্য খুবই হতাশ।",sad
"এই পরিস্থিতি আমাকে খুবই রেগে দিয়েছে।",angry
"এটি সম্পূর্ণ অগ্রহণযোগ্য।",angry
"এখন আমি খুবই বিরক্ত।",angry
"এই ঘটনাটি আমাকে খুবই উত্তেজিত করেছে।",angry
"এটি আমাকে অত্যন্ত রাগান্বিত করেছে।",angry
"আমি বিশ্বাস করতে পারছি না এটি ঘটেছে।",angry
"এই পরিস্থিতি আমাকে খুবই বিরক্ত করেছে।",angry
"এটি আমাকে বেশ রাগান্বিত করেছে।",angry
"এই খবরটি আমাকে খুবই ক্ষুব্ধ করেছে।",angry
"এই ঘটনাটি আমাকে খুবই ক্রুদ্ধ করেছে।",angry
"আজ আমি খুবই রাগান্বিত।",angry
"এটি আমাকে চরম বিরক্ত করেছে।",angry
"এই পরিস্থিতি আমাকে প্রচণ্ড রেগে দিয়েছে।",angry
"আমি অত্যন্ত ক্ষুব্ধ।",angry
"এই ঘটনাটি আমাকে বিরক্ত করেছে।",angry
"আমি খুবই রাগান্বিত।",angry
"এই পরিস্থিতি আমাকে প্রচণ্ড রাগ দিয়েছে।",angry
"এই ঘটনা আমাকে ক্ষুব্ধ করেছে।",angry
"এটি আমাকে খুবই উত্তেজিত করেছে।",angry
"আমি এখন খুবই বিরক্ত।",angry
"এই পরিস্থিতি আমাকে অনেক রাগ দিয়েছে।",angry
"আমি বর্তমানে খুবই রাগান্বিত।",angry
"এই ঘটনা আমাকে খুবই ক্ষুব্ধ করেছে।",angry
"আমি খুবই উত্তেজিত।",angry
"এটি আমাকে খুবই বিরক্ত করেছে।",angry
"আমি এই পরিস্থিতি নিয়ে খুবই রেগে গেছি।",angry
"এই খবরটি আমাকে প্রচণ্ড ক্ষুব্ধ করেছে।",angry
"এই ঘটনা আমাকে বিরক্ত করেছে।",angry
"আমি খুবই রাগান্বিত।",angry
"এই পরিস্থিতি আমাকে ক্ষুব্ধ করেছে।",angry
"এই ঘটনা আমাকে প্রচণ্ড রাগ দিয়েছে।",angry
"আমি খুবই বিরক্ত।",angry
"এই ঘটনা আমাকে প্রচণ্ড ক্ষুব্ধ করেছে।",angry
"এই ঘটনা আমাকে খুবই রেগে দিয়েছে।",angry
"আমি এখন খুবই বিরক্ত।",angry
"এই পরিস্থিতি আমাকে খুবই রাগিয়েছে।",angry
"এই খবরটি আমাকে খুবই ক্ষুব্ধ করেছে।",angry
"আজ আমি প্রচণ্ড বিরক্ত।",angry
"এই ঘটনা আমাকে ক্ষুব্ধ করেছে।",angry
"এই পরিস্থিতি আমাকে উত্তেজিত করেছে।",angry
"এই ঘটনা আমাকে খুবই রাগান্বিত করেছে।",angry
"এই খবরটি আমাকে প্রচণ্ড রেগে দিয়েছে।",angry
"এই পরিস্থিতি আমাকে প্রচণ্ড বিরক্ত করেছে।",angry
"এই ঘটনা আমাকে অনেক রাগিয়েছে।",angry
"আমি খুবই ক্ষুব্ধ।",angry
"এই ঘটনাটি আমাকে রেগে দিয়েছে।",angry
"এই খবরটি আমাকে অনেক বিরক্ত করেছে।",angry
"এই ঘটনা আমাকে রাগান্বিত করেছে।",angry
"আমি এখন প্রচণ্ড রাগান্বিত।",angry
"আজকের দিনটা অনেক সুন্দর লাগছে | তোমার সঙ্গে কথা বলে খুব ভালো লাগলো",happy
"আজ আমি খুব আনন্দিত | এই মুহূর্তটা সত্যিই বিশেষ",happy
"তোমার দেওয়া উপহারটা দারুণ লেগেছে | অনেক ধন্যবাদ",happy
"আজকের আবহাওয়া মনোমুগ্ধকর | চারপাশটা অনেক সুন্দর লাগছে",happy
"আমার স্বপ্ন আজ সত্যি হয়েছে | এটা আমার জীবনের সেরা দিন",happy
"বন্ধুদের সঙ্গে সময় কাটানো সত্যিই দারুণ লাগে | অনেক মজা হলো",happy
"তোমার হাসিটা আমাকে সবসময় আনন্দ দেয় | তুমি অসাধারণ",happy
"আজকের রান্নাটা দারুণ হয়েছে | এমন খাবার খেতে ভালোই লাগে",happy
"পরীক্ষার রেজাল্ট ভালো হয়েছে | বাবা-মা খুব খুশি",happy
"আজ নতুন কিছু শিখলাম | শেখার আনন্দই আলাদা",happy
"বই পড়তে ভালোবাসি | এটা আমাকে অনেক কিছু শেখায়",happy
"আজকের সন্ধ্যাটা খুব সুন্দর | প্রকৃতি সত্যিই দারুণ",happy
"তোমার সঙ্গে আড্ডা দেওয়া সবসময়ই মজার হয় | অনেক হাসলাম",happy
"আজ আমার জন্মদিন | সবাই আমাকে শুভেচ্ছা জানিয়েছে",happy
"পছন্দের গান শুনতে শুনতে মন ভালো হয়ে যায় | সত্যিই ভালো লাগছে",happy
"আজ একটা নতুন বন্ধু পেলাম | ও খুব ভালো মানুষ",happy
"আমার ছোট ভাই আজ প্রথম হাঁটলো | এতো সুন্দর মুহূর্ত!",happy
"তোমার কাছ থেকে একটা চিঠি পেলাম | খুব আবেগপ্রবণ মুহূর্ত",happy
"আজকের সূর্যাস্তটা অসাধারণ | প্রকৃতির সৌন্দর্য অনন্য",happy
"আজ আমার প্রিয় সিনেমাটা আবার দেখতে পেলাম | দারুণ লাগছে",happy
"ছোটবেলার খেলনাগুলো দেখে পুরোনো দিনের কথা মনে পড়ে গেল | অনেক আনন্দ লাগছে",happy
"আজকে সবার কাছ থেকে এত ভালোবাসা পেলাম | সত্যিই ভাগ্যবান মনে হচ্ছে",happy
"তোমার কাছ থেকে একটা সারপ্রাইজ পেলাম | এটা আমার জন্য খুব স্পেশাল",happy
"আজ নতুন একটা জায়গায় ঘুরতে এলাম | অসাধারণ পরিবেশ",happy
"আজকের কাজটা অনেক সুন্দরভাবে শেষ করলাম | খুব ভালো লাগছে",happy
"বন্ধুদের সঙ্গে বেড়াতে গিয়েছিলাম | অনেক স্মৃতি তৈরি হলো",happy
"প্রথমবারের মতো পছন্দের কিছু বানিয়ে খেলাম | দারুণ হয়েছে",happy
"আজকের বইমেলায় অনেক মজা হলো | নতুন অনেক বই কিনেছি",happy
"প্রিয় মানুষদের সঙ্গে সময় কাটাতে পারছি | খুব আনন্দ লাগছে",happy
"আজকের সূর্যোদয়টা অসাধারণ ছিল | প্রকৃতির রঙ সত্যিই অপূর্ব",happy
"আজ নতুন কিছু আঁকলাম | খুব তৃপ্তি লাগছে",happy
"তোমার দেওয়া উপহারটা আমার খুব ভালো লেগেছে | অনেক ধন্যবাদ",happy
"আজকের দিনটা মনে রাখার মতো | অসাধারণ অভিজ্ঞতা",happy
"তোমার সুন্দর কথাগুলো আমার মন ভালো করে দিল | সত্যিই আনন্দিত",happy
"আজকের খেলা দারুণ উপভোগ করলাম | অনেক মজা হয়েছে",happy
"পরীক্ষার প্রস্তুতি ভালো হয়েছে | আত্মবিশ্বাস বেড়েছে",happy
"আজ প্রথমবার নিজের পছন্দের একটা গান গাইলাম | অনেক প্রশংসা পেলাম",happy
"আজ অনেক পুরনো বন্ধুদের সঙ্গে দেখা হলো | স্মৃতিগুলো ফিরে এলো",happy
"আজকের দিনটা অনেক ইতিবাচকভাবে কাটলো | নিজেকে ভাগ্যবান মনে হচ্ছে",happy
"আজকের রান্নাটা দারুণ হয়েছে | সবাই খুব প্রশংসা করলো",happy
"তোমার সঙ্গে কাটানো সময় সবসময়ই বিশেষ | আজকের দিনটা অসাধারণ ছিল",happy
"আজকের ফুটবল ম্যাচটা খুব উত্তেজনাপূর্ণ ছিল | আমি খুব আনন্দিত",happy
"আজকে সবাই আমার কাজের প্রশংসা করলো | খুব ভালো লাগছে",happy
"আজকের আকাশটা দারুণ লাগছে | নীল রঙে মন হারিয়ে যাচ্ছে",happy
"আজকের সন্ধ্যার বাতাসটা খুব সুন্দর | প্রকৃতির শীতল স্পর্শ উপভোগ করলাম",happy
"আজকের বিশেষ মুহূর্তটা আমার জীবনের অন্যতম সেরা সময় | খুব ভালো লাগছে",happy
"আজকের পরিবারে একসঙ্গে সময় কাটানো খুব আনন্দের ছিল | সবাইকে ধন্যবাদ",happy
"আজকের বই পড়াটা খুব উপভোগ করলাম | নতুন কিছু শেখার আনন্দই আলাদা",happy
"আজকের বাগান করা অভিজ্ঞতাটা খুব সুন্দর ছিল | প্রকৃতির কাছে থাকা সবসময় ভালো লাগে",happy
"আজকে নতুন কিছু শিখলাম | শেখার আনন্দই অন্যরকম",happy
"আজ মনটা খুব খারাপ | সবকিছু ফাঁকা ফাঁকা লাগছে",sad
"একজন কাছের মানুষ আমাকে কষ্ট দিল | খুব দুঃখ লাগছে",sad
"আজ অনেক একা লাগছে | কেউ যেন আমার পাশে নেই",sad
"প্রিয় বন্ধু আমাকে ভুল বুঝেছে | খুব কষ্ট পাচ্ছি",sad
"আজকের দিনটা খুব কঠিন ছিল | কিছুই ভালো লাগছে না",sad
"প্রিয় স্মৃতিগুলো মনে পড়লে মনটা ভারী হয়ে যায় | খুব খারাপ লাগছে",sad
"কেউ আমার অনুভূতিগুলো বুঝতে চায় না | একা লাগছে",sad
"আজকের আবহাওয়া আমার মন খারাপ করে দিল | মেঘলা দিনটা বিষণ্ণ লাগছে",sad
"পরীক্ষার ফল খারাপ হয়েছে | বাবা-মাকে কষ্ট দিলাম",sad
"কাউকে হারানোর বেদনা অনেক গভীর | আজ খুব মন খারাপ",sad
"প্রিয়জন দূরে চলে গেছে | তার কথা খুব মনে পড়ছে",sad
"আজ আমার কোনো কিছুই ভালো লাগছে না | সব কিছু নিষ্প্রাণ মনে হচ্ছে",sad
"আমার পরিশ্রমের মূল্য কেউ দিল না | খুব কষ্ট লাগছে",sad
"আজ খুব নিঃসঙ্গ লাগছে | কাউকে পাশে চাই",sad
"বন্ধুর সঙ্গে কথা কাটাকাটি হয়েছে | খুব মন খারাপ",sad
"কেউ আমার আবেগ বোঝে না | একা লাগছে",sad
"আজকের দিনটা খুব হতাশাজনক ছিল | কোনো কিছুই ঠিকমতো হয়নি",sad
"তোমার বলা কথাগুলো আমার মনে আঘাত করেছে | কষ্ট পেয়েছি",sad
"আজকের ঘটনা আমাকে খুব কষ্ট দিয়েছে | বারবার মনে পড়ছে",sad
"আজকার আকাশটাও যেন আমার মনের মতো মলিন | বিষণ্ণ লাগছে",sad
"অনেক স্বপ্ন দেখেছিলাম, কিন্তু কিছুই সত্যি হলো না | হতাশ লাগছে",sad
"আজ আমি একদম ভেঙে পড়েছি | কারো সান্ত্বনা দরকার",sad
"একা একা থাকতে থাকতে ক্লান্ত হয়ে গেছি | কেউ নেই পাশে",sad
"জীবনটা যেন থেমে গেছে | কোনো কিছুতেই উৎসাহ পাচ্ছি না",sad
"প্রিয়জনের সাথে দূরত্ব তৈরি হয়েছে | খুব কষ্ট পাচ্ছি",sad
"আজ আমি সত্যিই একা | কেউ আমাকে বোঝে না",sad
"জীবনের সব কিছু যেন এলোমেলো হয়ে যাচ্ছে | হতাশ লাগছে",sad
"ভালো কিছু করার চেষ্টা করেও ব্যর্থ হলাম | খুব মন খারাপ",sad
"কিছু মানুষ শুধু প্রয়োজনের সময় কাছে আসে | দুঃখ লাগছে",sad
"প্রিয় মানুষটা আজ কথা বললো না | মনটা ভারী হয়ে গেছে",sad
"আমি কষ্ট পাচ্ছি, কিন্তু কেউ বুঝতে পারছে না | একা লাগছে",sad
"আজকের রাতটা খুব দীর্ঘ মনে হচ্ছে | ঘুম আসছে না",sad
"আজ একটা বিশেষ দিন ছিল, কিন্তু কেউ মনে রাখলো না | কষ্ট লাগছে",sad
"আজ নিজের ওপর খুব হতাশ লাগছে | কিছুই ঠিকমতো করতে পারছি না",sad
"ভালোবাসার মানুষটা দূরে চলে গেল | একাকিত্ব অনুভব করছি",sad
"আজকের দিনটা বিষণ্ণতার মধ্যে কাটলো | কিছুতেই মন ভালো হচ্ছে না",sad
"সবাই ব্যস্ত হয়ে গেছে, আর আমি একা পড়ে আছি | খারাপ লাগছে",sad
"আজকের রাতটা খুব নিঃসঙ্গ লাগছে | কারো সঙ্গ দরকার",sad
"আমি সবসময় অন্যদের জন্য ভাবি, কিন্তু কেউ আমার কথা ভাবে না | মন খারাপ",sad
"আজ খুব ক্লান্ত লাগছে | শারীরিক ও মানসিকভাবে অবসন্ন",sad
"বৃষ্টি পড়ছে, আর আমার মনটাও কাঁদছে | খুব খারাপ লাগছে",sad
"আজ একটা বড় সুযোগ হাতছাড়া হয়ে গেল | ভীষণ হতাশ লাগছে",sad
"আমার অনুভূতিগুলো গুরুত্ব পেল না | দুঃখ লাগছে",sad
"আজকের সন্ধ্যাটা খুব একা কাটছে | কারো সঙ্গ দরকার",sad
"কিছু মানুষ শুধু সুযোগের জন্য আসে | এই সত্য মেনে নিতে কষ্ট হয়",sad
"আজ আমার কোনো কিছুতেই মন বসছে না | সবকিছু অর্থহীন মনে হচ্ছে",sad
"আমার চোখে জল এসে গেছে, কিন্তু কাউকে বুঝতে দিতে চাই না | একা লাগছে",sad
"প্রিয়জনদের সাথে দুরত্ব তৈরি হচ্ছে | এই দূরত্ব কষ্ট দিচ্ছে",sad
"একটা সময় কত সুন্দর ছিল, এখন শুধু কষ্টের স্মৃতি | মন খারাপ",sad
"আমি সবসময় হাসি, কিন্তু আজ সত্যিই ভেতরে ভেঙে পড়েছি | দুঃখ লাগছে",sad
"তুমি কেন আমার কথা শুনছ না? খুব রাগ হচ্ছে!",angry
"আজকের ঘটনাটা আমাকে খুব রাগিয়ে দিয়েছে!",angry
"আমি বারবার বলেছি এটা করো না, কিন্তু তবুও করেছ!",angry
"সবাই আমাকে দোষ দেয়, কিন্তু নিজের ভুল কেউ দেখে না!",angry
"তুমি সবসময় দেরি করো, এটা খুবই বিরক্তিকর!",angry
"আমি এত পরিশ্রম করলাম, অথচ কেউ তার মূল্য দিল না!",angry
"আজকের ট্রাফিক জ্যাম আমাকে অসহ্য করে তুলেছে!",angry
"কেউ কথা শুনতে চায় না, সবাই নিজের মতো চলে!",angry
"তুমি প্রতিবার কথা দিয়ে কথা রাখো না, এটা খুবই হতাশাজনক!",angry
"অন্যায় সহ্য করা আমার পক্ষে সম্ভব না!",angry
"তুমি বারবার একই ভুল করছ, এটা খুবই বিরক্তিকর!",angry
"কেউ আমাকে গুরুত্ব দেয় না, এটা ভেবে রাগ হয়!",angry
"আমি এতক্ষণ ধরে অপেক্ষা করছি, অথচ তুমি কোনো গুরুত্ব দিচ্ছো না!",angry
"আজকের দিনটাই খারাপ গেল, সবকিছুতেই সমস্যা!",angry
"আমার জিনিস কেউ জিজ্ঞেস না করেই নিয়ে যায়, এটা সহ্য করা যায় না!",angry
"সবাই শুধু নিজেদের কথা ভাবে, কেউ আমার কথা ভাবে না!",angry
"আমার সময়ের কোনো মূল্য নেই নাকি? সবাই দেরি করিয়ে দেয়!",angry
"তুমি কেন সবসময় অন্যদের সামনে আমাকে অপমান করো?",angry
"এই অন্যায় আমি সহ্য করবো না!",angry
"তুমি প্রতিবার অজুহাত দাও, এটা সত্যিই বিরক্তিকর!",angry
"কাজের মাঝে কেউ বারবার ডিস্টার্ব করলে খুব রাগ লাগে!",angry
"আমার কথা কেউ সিরিয়াসলি নেয় না, এটা খুবই কষ্টদায়ক!",angry
"আমি এত বলার পরও তুমি কেন এই ভুল করলে?",angry
"আজকে আমার সহ্যের সীমা পার হয়ে গেছে!",angry
"তুমি আমাকে ভুল বুঝছো, এটা মেনে নেওয়া যায় না!",angry
"সবাই শুধু ভুল খুঁজে বেড়ায়, কিন্তু নিজের ভুল দেখে না!",angry
"আমি এত কষ্ট করে কিছু করলাম, অথচ কেউ সেটা স্বীকার করলো না!",angry
"কেউ যদি বারবার মিথ্যে বলে, সেটা সহ্য করা কঠিন!",angry
"আমি কখনো এভাবে অবহেলিত হতে চাইনি!",angry
"তুমি বারবার একই ভুল করছো, এটা মেনে নেওয়া যায় না!",angry
"আজকের সিস্টেমটাই খারাপ, কোনো কিছুই ঠিকমতো হয় না!",angry
