cleaned,classes
একটা ১০ বছরের বাচ্চাকেও জিজ্ঞাস করলেও উত্তর দিবে পরবর্তীতে সরকার কে হবে।ব্যাপারটা যদি এমন হ মাই তাহলে ভোট দেওয়ার প্রশ্নই আসে না।সাংবাদিকদের উচিত আমাদের সামনে মাউত পিচ না ধরে বহিবিশ্বের কুটনিতিদের জানান এটা পাতানো নির্বাচন।,disgust
ঢাকা মহানগর দক্ষিণ যুবলীগের সহ সভাপতি এনামুল হক আরমান  তিনিও বহুল আলোচিত ক্যাসিনো কাণ্ডের অন্যতম হোতা  সামান্য লাগেজ বিক্রেতা থেকে ক্যাসিনো ব্যবসা করে কোটি কোটি টাকার মালিক বনে গেছেন এই আরমান ,surprise
এইসব কারণে উন্নয়ন সত্যেও গ্রহণযোগ্যতাা হারায় সরকার।।,disgust
সন্দেহ মানুষকে ভিক্টিমে পরিনত করে। এটা নাটকের মাধ্যমে সুন্দর করে বোঝানো হয়েছে। শিক্ষণীয় বিষয় রয়েছে এ নাটকে।,disgust
"তীব্র নিন্দা জানাচ্ছি! সাবেরা সুলতানা খানম কি একটুও বুঝলেন না যে, এই বিয়ের প্রস্তাব আসামীকে বাঁচানোর জন্য। উকিলদের দুষ্টু বুদ্ধিতে বাদী বিবাদীদের শুধু অর্থই নস্ট হয়।তাছাড়া বাদী এবং বিবাদী কখনই সংসার নামের সুখের নিশ্চয়তা আদালতের এই রায়ের মাধ্যমে পাবে না। যা হয়েছে তা হলো মৃতের মতো বেঁচে থাকা।",disgust
আমি অসহায় বোধ করছি এবং কিছুটা দু  খের চেয়েও বেশি,fear
আমি এর আগে এই রাস্তা দিয়ে আর যাওয়া আসা করি নাই রাত্রি বেলা। আমি রাস্তা দিয়ে ভয়ে ভয়ে এগুচ্ছি।,fear
পুরো দেশে কম বেশি  প্রতিষ্ঠানে একই অবস্থা😅💔!! একই ক্লাসে পড়েও ক্লাসমেটদের নাকি ভাই বলতে হবে।,disgust
এই মেয়েটা কে আমার ভালো লাগে নি ۔ মেয়েটা শুধু টাকার জন্য পাগল ۔ স্বামীকে ভালোবাসেনি ۔ ওই রকম অসুস্থ স্বামীকে রেখে দূরে থাকে কি করে ??? ফালতু মেয়ে যতই কান্না করুক আমি ফালতুই বলবো,sadness
"চল্লিশ লক্ষ।
শা* চাপাবাজী চো* স?",anger
"আমি স্কুলে যাওয়ার পথে,,,গানটি শুনেচিলাম,, আজ থেকে প্রায় ৭ বছর আগে শুনেছি,,,আজ ও শুনি,,,, 😊😊😊",sadness
আমি মাঝে মাঝে কিছুটা অদ্ভুত বোধ করি যে আমার মাকে তার সম্পর্কে এমনভাবে উদ্বোধন করেছিল যেন সে তার মর্মান্তিক মস্তিষ্কের আঘাতের কারণে তার মানসিক এবং শারীরিক সামর্থ্যকে সত্যই ক্ষতিগ্রস্থ করছে,fear
"জাবত জীবন জেল বা মৃত্যুদণ্ড আসামি যদি জামিন পাওয়ার আশা করে থাকে,আদালতের বিছার এর  দামটা কি থাকলো আর,, হাইরে বাংলাদেশ 🤦‍♂️🤦‍♂️",anger
তুমি কি বেগুন থেরাপি দিয়ে জীবন চালিয়ে দিবা ,sadness
আমি জানিনা কেন প্রোগ্রাম শুনছি আর হাসছি৷ সাথে আর যে কিবরিয়া স্যারের ফেইস এক্সপ্রেশন দেখে ও হাসছি,joy
এসব আর ভালো লাগেনা দেখতে। আল্লাহ্ সকলকে হেদায়েত দান করুক।,sadness
ভাই অস্থির হয়েছে ,joy
এত চোর তো মনে হয় পুরা বাংলাদেশ এ ও ধরা খায়না যত ধরা খায় এয়ারপোর্ট এ...কিন্তু প্রশাসন মনে হয় জানে না যে prevention is better than cure...,disgust
প্রথমে তাকে গুম করে স্থানীয় রাজাকার বাহিনী  তারপর হত্যা করে পাকিস্তানি বাহিনী  তার পরিবার ভয়ে ভারতে আশ্রয় নেয়  কি ভয়ংকর অবস্থা ,fear
"যে দেশে মানুষ খুনের বিচার পাওয়া যায় না, সে দেশে মুর্তি ভাঙ্গার বিচার?",surprise
হাইরে বাংলাদেশ আর কতদিন চলবে ,anger
কাশ্মীরের মুজাহিদ স্বাধীনতার কামী দের প্রতি রহিল অনেক অনেক শূভেচ্ছা ও অভিনন্দন,joy
"মানুষের ভিতর থেকে যখন ধর্মের ব্যবহার চলে যায় তখন এসব হয়,",sadness
 রৌদ্রোজ্জ্বল আকাশে জেগে ওঠা  কী সুন্দর ,surprise
এই ফুটপাত দখলদারি রাজনীতিবিদদের জন্য আমরা রাস্তা দিয়ে হাটতে পারি না আমি চাই ফুটপাত বাংলাদেশ থেকে উঠিয়ে দেওয়া হোক কোন রাস্তার পাশে ফুটপাত থাকবে না এবং নিউমার্কেটে ঢাকা কলেজের সামনে কোন ফুটপাত থাকবে না আমি প্রধানমন্ত্রীর দৃষ্টি আকর্ষণ করে বলছি যে বাংলাদেশে কোন ফুটপাত থাকবে না,anger
"কিন্তু প্রশ্ন হলো মূল অপরাধীরা কি সাজা পাবে না ধরাছোঁয়ার বাইরে থাকবে,,,,,,",disgust
তাঁরা শৈশবে আমাকে যেমন স্নেহ-মমতা দিয়ে লালন-পালন করেছেন।] ,joy
তোমাকে নিয়ে গর্ভ করা যায় ভাই 💖💖💖 ,joy
আপা এখন তো ভোট লাগে না ,anger
হুম সুন্দর হয়েছে। ,joy
একজন মেম্বার অব পার্লামেন্টের সাথে এভাবে কথা বলা এক ধরনের ধৃষ্টতা !!!! পুলিশকে এই ধরনের এটাকিং ভূমিকা থেকে সরে আসতে হবে ৷,disgust
যে মানুষ টা অন্য কারো সাথে কথা বললে এত বকতাম মুখ বুঝে সুনে যেত যে মানুষ টা এত এত কেয়ার করতো যে মানুষ টার সাথে রাতে কথা বলা ছাড়া ঘুমাই না৷ সে মানুষ টা অন্য কারো ভাবা যায়,sadness
"যার শুরু আছে, তার শেষও আছে। আওয়ামী লীগ একবার নিরপেক্ষ তত্বাবধায়ক সরকারের অধীনে নির্বাচন দিয়ে দেখুক, তার পর দেখা যাবে কোন দল বিলুপ্ত হয়, আর কোন দল টিকে থাকে?",anger
সত্যের জয় হোক।,joy
কর্মকর্তা ও কর্মচারীর পক্ষ থেকে তাকে প্রাণঢালা অভিনন্দন। মি. চেয়ারম্যান ,joy
"এদের সয়তানি দেখলে,সয়তান ও লজজা পাবে।",disgust
সাব্বির কে বাদ দেওয়া হোক বাংলাদেশ দল থেকে ,sadness
কুকিজের পুরো বাক্সটি খুঁজে পেতে আমার আস্তানা পরিষ্কার করে দিয়েছে,surprise
"যে চলে গেছে তার যদি বিবেক বলে কিছু থেকে থাকে, তবে সে তিলে তিলে শেষ হবে।",sadness
নাটক টা দেখে আমরাও কান্না  চলে আসছে 😢 সত্যি  মা হওয়া টা খুব কঠিন আমিও একজন মা হয়েছি নতুন,sadness
আমি অনেক আগের মত অত্যাচারিত বোধ করছি,fear
সে বললো:- দেখুন আমি গরীব হতে পারি কিন্তু লোভী না ,sadness
এখানেও শো আপ 🙄😂 ,sadness
রুখে দাড়াতে হবে। ধন্যবাদ ইলিয়াস ভাইকে!!,anger
রান হলে খেলা জিতবে ইংশাআললা ,surprise
আওয়ামীলীগ রে কি ভূতে পাইছে যে ফেয়ার ইলেকশান করবে ?,fear
"সত্যি গানটি আমার অদ্ভুত রকমের সুন্দর লাগে । জানি সে কখনো আমার হবে না , তবুও তাকে মন থেকে ভুলতে পারছি না । কয়েক যুগ পরে এসেও যখন গানটি শুনবো আবারো তার স্মৃতি গুলো আমার চোখের সামনে ভেসে উঠবে",surprise
দেখা কেউ নেই ,anger
ইউটিউবে পর্ণ না পেয়ে হতাশাগ্রস্ত হলে মানুষ এসব ভিডিওতে আনলাইক দিয়ে যায় 🐸😑 ,sadness
এখন তাকে সসম্মানে মুক্তি দিয়ে অন্য একটা স্কুলে বদলী করে দিলেই ভালো হবে। কারন এখানে থাকলে তাকে আরও মানসিক নির্যাতনের শিকার হতে হবে তার চেয়ে নতুন পরিবেশে গেলে মানসিক শান্তি পাবে।,anger
কিবরিয়া ভাই আমি ওনাকে ২ বছর আগে ৩ / ৪ বার দেখেছি কিন্তু আমি তো আছি এখন তুরস্ক আমি ফোনে চেস্ট করতে আছি মনে হয় পেয়ে যাব ইনশাআল্লাহ,fear
আমিই মনে হয় এক মাত্র নিরবোধ তুমাই ভালো রেখে আজ নিজেই না পাওয়া আগুনে পুরছি,sadness
সুষ্ট শৃংখলার প্রতি নজর দারী যেন থাকে,joy
যত চুরি ভারতের ,sadness
ভাই ইউটিউবার আপনি একটা শয়তানের বাচ্চা না হলে এরকম হেডলাইন করতেন না অবশ্যই আপনি মুসলিম নয় আমি নিশ্চিত নিশ্চিত,disgust
১টা দোকানে ৪০লক্ষ টাকা থাকে?,surprise
আমাদের এই সমাজে মেয়েদের দোষ আগে দেখা হবে। তাই হয়েছে।,sadness
"ছেলেটা  কে উন্নত  চিকিৎসার  ব্যবস্হা করা হোক। আল্লাহ পাকের  কাছে  দোয়া  করি  ও যেন সুস্থ  ও  স্বাভাবীক জীবন  ফিরে  পায়। আর এই মা&#39;কে  লক্ষ,  কোটি সালাম। মায়ের  মনের আশা পূর্ণ  হোক।",joy
চট্রগ্রাম আর নোয়াখালির কিছু খারাপ মানুষের চুরির চিন্তা ভাবনায় এমনই থাকে ,sadness
এই রকম বিচির গালে জোতা মারার দরকার সালার চেতনা লীগ বিচি।,anger
তখন এক জান্তব ভয় আমাকে গ্রাস করল   এমন তীব্র ভয় আমি জীবনে কখনো পাইনি   তখন আমি খেয়াল করলাম আমার পা কাঁপছে   আমি এক চিৎকার দিয়ে মসজিদের বারান্দায় এসে অজ্ঞান হয়ে যাই  ,fear
ছাত্র লীগ করছে তাই অসুবিধা নাই,disgust
"শরিষার মধ্যেই ভূত, বিচারক যদি এমন হয়, তাহলে মানুষ আইনের উপরে শ্রদ্ধা করবেনা, উনাকে কঠোরতম শাস্তি দেওয়ার দাবি জানাচ্ছি",anger
"শেষ টা খুব ভালো লাগলো মন ভরে হাসলাম, কারন সেই লোকটা ঠিকই বুঝতে পারছিলো যে সে একটা লোভী নারীকে বিয়ে করেছে যার কাছে টাকাই মূল্যবান, তাই সে তার সব টাকা তাকে দিয়ে গেছে আর এই টাকাই এই নারীর বাকি জীবন শাস্তি দিবে যা সে নিজে ছাড়া আর কেহ অনুভব করতে পারবে না।",disgust
সময় বদলে যায় সাথে মানুষও।কিন্তু স্মৃতিগুলো রয়ে যায়।একটা সময় কত শুনতাম এই গান।স্টুডেন্ট লাইফ বন্ধুদের নিয়ে গানটি শুনা অনেক ভালো ছিল সময় গুলো।বড় হওয়ার সাথে সাথে আনন্দগুলিও হারিয়ে গেলো।,sadness
ঐওকিল তুই কি মানুস না জানুয়ারে   বাচ্ছা     ঐ সোয়েরের বাচ্ছা তুই কি ভিডিও টা দেখুছ নাই  আর তুই কছ মিন্নি  নি দোস  সালা দালালের বাচ্ছা,disgust
"হাহা পুলিশ হলো ঘুস খুর আমার ভাই কোন অপরাধ করেনি তাও পুলিশ টাকা খেয়ে আমার ভাইকে  এক মাস জেলে দিয়েছে,, আমার মা মাটিতে সুয়ে পুলিশের পা দরে কান্না  করেন তাও তাদের মন নরম হয়নি টাকা হায়রে টাকা আল্লাহ  আমাকে টাকা ওয়ালা বানিয়ে দাও আমাকে টাকা দেও আল্লাহ  গরিব ছিলাম বলে বিচার পাইনি আল্লাহ 😭😭😭",anger
এজন্যই ইসলাম বলে পর্দা করে চলতে কারণ ছেলেরা কিছু তেমন হবেই তাদের থেকে বাঁচতে হলে প্রটেকশন নিতে হবে,fear
আমি কিছুটা নড়বড়ে লাগছিলাম এবং ছোট্ট বাইকে একটি দিন বলেছিলাম,fear
পুলিশের গাড়িতে মামুনুল হক ছিলো গাড়ির পিছনে পিছনে তার ছেলে দৌড়াতেছিলো।,sadness
জালিম সরকার কি কড়ে। ভিন্ন মত দমনের বেলায় তো খুব পারদর্শী। এখন কানো চুপ করে থাকে। এটা কোনো মুসল মানের কাজ হতে পারে না,anger
করোনায় আমরা অনেক ক্ষতিগ্রস্ত হয়েছি।,anger
"রিজেন্ট তোর কপালে আরো শনি আসুক এই দোয়া করি, মালিন্দ তে যামু তাউ তুই না ভাগ",anger
আমি বুঝতে পারি যে এটি আপনাকে অনিশ্চিত বোধ করতে দিয়েছে,fear
"এই ধরনের গল্প প্রচার না করাই ভাল। সমাজে ভুল বার্তা যায়। এস. এস. সি. পরীক্ষার সময় বিয়ে, স্বামী ছাত্র, এক  বছর পর বাচ্চা। এটা কোনো দুঃখের গল্প না। এই গল্প থেকে শিক্ষা পাওয়ার মতো কিছুই নাই। সে সারভাইব করতে পেরেছে বলেই সবাই পারবে এমনটা নয়। অনেকেই দুর্বিসহ জীবন যাপন করে।",sadness
"সত্যি সত্যি বলছি খুব খুবই সুন্দর হয়েছে নাটক টি। প্রতিটি মায়ের এটা মনের কথা।সত্যি আমরা মেয়েরা খুব অসহায়।আমার বোন টা  এর থেকেও বেশি কস্টে আছে।সে না পাচ্ছে স্বামীকে, না শাশুড়ি,না কাজের মেয়ে,কেউ নেই তার সাথে একা বাচ্ছা আর অফিস সংসার সবি একলা সামলাচ্ছে।মাঝে মধ্যে খুবই কান্না করে আর পেরে উঠতে পারছেনা।সত্যি নারীরা অসহায়।",sadness
জানোয়ারগুলোর ফাঁসি চাই। ,sadness
ঘটনা যদি সত্য হয তবে বিচার হওয়া দরকার যে বিচারকের মেয়ে ক্লাসের অন্যদের বস্তির মেয়ে বলেছে তার । একজনবিচারক কিভাবে অন্য মেয়েদের মা কে পা ধরতে বাধ্য করে ।,disgust
"এখন আমরা যারা দেখছি তাদের গিল্টিফিল হচ্ছে, পাট ২ করে এর সমাধান চাই নিপুন ভাই",disgust
"৮১৮ জন ডিসলাইক দিসে, এরা কি প্রবাসে থাকে নাকি এসব অসভ্য লোক ওদের আত্মীয়? ",sadness
কই জাই মাথাই চোদেনা মাননীয় স্পীকার ওকে পাশের দেশ ব্রাহ্মণবাড়িয়াতে পাঠানো হোক ,disgust
hmm নাসরীন আনটি,sadness
শত্রুবাহিনী ঘিরে ফেলেছে ঘর এমন সময় পাশে বসে পাগলিনী আমি তোমায় জিজ্ঞেস করলাম- ভালবাস? ক্রুদ্ধস্বরে তুমি কি বলবে যাও? নাকি চিন্তিত আমায় আশ্বাস দেবে ,anger
অনেক অনেক সুন্দর হইছে গান টা ,joy
"বাবা মায়ের বদ দোয়া কিংবা ভালো দোয়া বন্দুকের গুলির চেয়ে বেশি ভয়ঙ্কর,,,,, ওর এতটুকু মনে রাখার দরকার ছিল",disgust
"এই ছেলের অভিনয় আমার সবথেকে প্রিয়। তার এক্সপ্রেশন গুলা আর অভিনয় এর দিক গুলা বড় পর্দার  বাপ্পি, অনন্ত জলিল, সাইমন, আদনান আতিক ভাই, আর কিছু আবাল নায়ক আসে ওদের শেখা উচিৎ।",disgust
আশা করি সবাই ভিডিওটি দেখবেন এবং ভাল লাগলে আমাদের এ করবেন ,joy
হাসিঁ গুলা চিলো মন কাড়ার,joy
গালি দিয়ে কি হবে।হিন্দু তো কোন মানুষ জাতের ভিতরে পরে না।গরুর জাত বুঝস।তোরে পাইলে পদ্মা সেতুর একটা পিলার তোর হোগার ভিতরে ভরে দিতাম। ,sadness
"কত দিন সেই চির চেনা  মুখটা দেখি না,সেটা শুধুই  আমি জানি  আর কেউ না।ছেড়ে  চলে যায় বলে তাইতো মনে বাড়ে বাড়ে আনাচে কানাচে ছড়িয়ে ছিটিয়ে থাকা।",sadness
আল্লাহ আমাদের উত্তম রিজিক দান করুন,joy
এই গান গুলো বাটন ফোন এর কথা মনে করিয়ে দেয় অ্যালবাম এর গান গুলো দিয়ে 2 জিবি মেমোরী ফুল করে সারা দিন শুনতাম আর গাইতাম সে দিন গুলো কত না ভালো ছিল বর্তমান যুগে অ্যান্ড্রয়েড ফোনে জ্জিনা আর ভেবিচার ছাড়া আর কিছুই নাই।,sadness
"জাপানি জীবনের নানা ব্যাপার দেখে ও একাই শুধু অবাক হয়েছে তা নয়, ওর স্বাদু চিত্তাকর্ষক আর আমেজি লেখার মৌতাতে পাঠক হিসেবে আমরাও যেমন কিছুটা অবাক হয়েছি।",surprise
প্রধান শয়তান ধর্ষকদের মা-বাপ!এদের সহ বিচারের আওতায় আনা উচিৎ বলে মনে করি। ,sadness
সেদিকটা খেয়াল করে বামে তাকাতেই হতভম্ব। কোথায় সেই বুড়ী? ভোজ বাজির মত অদৃশ্য হয়ে হয়ে গেছে।,surprise
আমরা কোন দেশে বাস করছি। যে খানে নিরপরাধ মানুষের জীবন নিয়ে খেলা করছে। আমরা জোর দাবি জানাচ্ছি বিচার চাই ‌।আর এদের এখান থেকে বের করা হোক।,fear
সত্যি বর্তমান কিছু দোকানের ব্যাবহার এতোটা খারাপ যার জন্য এখন এই অবস্থা,sadness
দেশে শুধু লুটপাট হয়েছে এতদিন  কোনো খাত এর মান উন্নয়ন হয়নি  তার জন্য শুধু আমরা সাধারণ জনগণ নয় উপরের লোকেরাও মরবে   ইনশাআল্লাহ  ,anger
"এখনো তার সব ভালোবাসা আমাকে ঘিরে রাখছে আমি বের হতে পারিনি আমি পারিনি তারে বাধতে তারে শুধুই কষ্ট দিয়েছি 
আমাকে মাফ করে দিও আল্লাহ আমি তারে দেয়া কথ রাখিনি শুধু মা বাবার দিকে চেয়ে",sadness
বলতে গেলে তখন পুরোপুরি সুস্থ আমি  এমন সময় আম্মু পাশে বসে কেঁদে উঠে বলেন    তোর দাদী আর নেই ,sadness
এদিকে শহরের লোকজন আলেকজান্ডারকে মেসিডোনিয়ানদের নেতা হিসেবে চিনতে পেরে আগুনের তীর ছুঁড়তে শুরু করে  প্রবল বেগে আক্রমণ করা শুরু করে ,surprise
যারা সারারাত ছাত্রী হলের গেট খোলা থাকা নিয়ে আন্দোলন করছে এবং আন্দোলনে উৎসাহ দিচ্ছে তারা দেশ ও সমাজের শত্রু এদের বিচারের মুখোমুখি করা এবং এদের বিরুদ্ধে পুলিশের আরো কঠোর ব্যবস্থা নেয়া উচিৎ।,disgust
ভাবতে ভয় লাগে এসব ছেলেদের কাছে হাজার হাজার লাখ লাখ মেয়েরা পেশেন্ট হিসেবে যাবে  যারা নিজের ক্লাসমেট দের নূন্যতম রেস্পেক্ট দিতে পারে না তারা একটা অচেনা অজানা মেয়ের সাথে কি করতে পারে,fear
ভাই আপনার জায়গায় যদি আমরা সাধারণ মানুষ হই তাহলে ওই পুলিশ ব্যাটা এতক্ষন কথা বলতো না দুই চারটা লাগায় দিত। আপনি শুধুমাত্র এই অবস্থার মুখোমুখি হননি কারণ আপনি ইউ কে সিটিজেন। বুঝতে পারলেন। আমাদের দেশের সকল নাগরিকের ভিতরে এ ধরনের প্রতিবাদ ইচ্ছা থাকে। কিন্তু পেরে উঠা হয় না।,disgust
একদম খাটি কথা। মুক্তচিন্তায় আঘাত মানে দেশের জন্মের প্রতি আঘাত।,sadness
খুব সুন্দর ভাইয়া... ,joy
একটাই কথা আমাদের দাবি মানতে হবে,anger
পদ্মা সেতুর খবর নাই৷৷ কেমনে যেনো বলে ভাত খাইতে পায়না চা খায় সাইকেল দিয়া টয়লেটে জায়৷৷ ,sadness
আত্মপীড়নমূলক কার্যকলাপ (নিজেকে বিভিন্নভাবে কষ্ট দেওয়া) ,anger
"খানিক মাগি দের হাত পায়ে বেড়ি পাড়ায় না , নির অপরাধ আলেমদের হাত পায়ে বেড়ি পাড়ায়। পুলিশদের উপর আল্লাহ আগে গজব নাজিল করবে।",anger
অনেক দিন পরে হটাৎ করে প্রিয় মানুষ এর সাথে দেখা হলে💔💔💔 বুক টা কেপে উঠে আসলেই,fear
সাকিব ভাই আমারএকটা ছেলে আছে দুই বছরের দোয়া করবে তাকে যেনো আপনার    মতো বানাতে পারি,joy
ক্যালিফোর্নিয়া বনাঞ্চলের দাবানল বন্ধ করতে না পারলে ফেডারেল তহবিল হ্রাস করার হুমকি দিয়েছেন মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্প রাজ্যটির গভর্নরের উদ্দেশে দেওয়া এক টুইট বার্তায় এ কথা জানান তিনি,fear
বিদ্যানন্দ একটা ভালবাসার নাম।।।,joy
চাপাবাজ হালাঃ আমার গাও পাছায়া বুম মারি দিছে।।,disgust
