ID,Party,Statement,Source,Category
42,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,সময় টিভি,শিক্ষা
43,বিএনপি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,সময় টিভি,শিক্ষা
44,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,ফেসবুক,স্বাস্থ্য
45,বিএনপি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,সময় টিভি,পরিবেশ
46,জামায়াত,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,সময় টিভি,স্বাস্থ্য
47,জামায়াত,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,সময় টিভি,অর্থনীতি
48,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,জনকণ্ঠ,পরিবেশ
49,বিএনপি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,জনকণ্ঠ,স্বাস্থ্য
50,জাতীয় পার্টি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,সময় টিভি,স্বাস্থ্য
51,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,স্বাস্থ্য
52,জাতীয় পার্টি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,স্বাস্থ্য
53,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,ফেসবুক,রাজনীতি
54,আওয়ামী লীগ,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,সময় টিভি,পরিবেশ
55,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,সময় টিভি,স্বাস্থ্য
56,বিএনপি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,অর্থনীতি
57,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,প্রথম আলো,স্বাস্থ্য
58,জামায়াত,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,অর্থনীতি
59,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,স্বাস্থ্য
60,জাতীয় পার্টি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,ফেসবুক,স্বাস্থ্য
61,জাতীয় পার্টি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,সময় টিভি,পরিবেশ
62,জাতীয় পার্টি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,প্রথম আলো,স্বাস্থ্য
63,জাতীয় পার্টি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,পরিবেশ
64,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,ফেসবুক,শিক্ষা
65,বিএনপি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,সময় টিভি,রাজনীতি
66,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,সময় টিভি,স্বাস্থ্য
67,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,ফেসবুক,শিক্ষা
68,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,প্রথম আলো,রাজনীতি
69,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,সময় টিভি,স্বাস্থ্য
70,বিএনপি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,প্রথম আলো,রাজনীতি
71,বিএনপি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,রাজনীতি
72,আওয়ামী লীগ,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,প্রথম আলো,পরিবেশ
73,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,অর্থনীতি
74,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,জনকণ্ঠ,অর্থনীতি
75,জামায়াত,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,সময় টিভি,রাজনীতি
76,জাতীয় পার্টি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,শিক্ষা
77,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,সময় টিভি,স্বাস্থ্য
78,বিএনপি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,স্বাস্থ্য
79,জামায়াত,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,প্রথম আলো,স্বাস্থ্য
80,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,প্রথম আলো,স্বাস্থ্য
81,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,প্রথম আলো,পরিবেশ
82,জামায়াত,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,সময় টিভি,শিক্ষা
83,বিএনপি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,সময় টিভি,পরিবেশ
84,আওয়ামী লীগ,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,ফেসবুক,পরিবেশ
85,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,সময় টিভি,অর্থনীতি
86,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,স্বাস্থ্য
87,আওয়ামী লীগ,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,ফেসবুক,শিক্ষা
88,জাতীয় পার্টি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,সময় টিভি,রাজনীতি
89,আওয়ামী লীগ,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,প্রথম আলো,শিক্ষা
90,জামায়াত,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,সময় টিভি,রাজনীতি
91,জামায়াত,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,সময় টিভি,অর্থনীতি
92,জাতীয় পার্টি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,সময় টিভি,শিক্ষা
93,জামায়াত,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,ফেসবুক,পরিবেশ
94,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,জনকণ্ঠ,স্বাস্থ্য
95,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,অর্থনীতি
96,জামায়াত,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,শিক্ষা
97,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,স্বাস্থ্য
98,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,শিক্ষা
99,জামায়াত,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,সময় টিভি,অর্থনীতি
100,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,স্বাস্থ্য
101,আওয়ামী লীগ,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,সময় টিভি,স্বাস্থ্য
102,জাতীয় পার্টি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,ফেসবুক,অর্থনীতি
103,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,প্রথম আলো,শিক্ষা
104,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,অর্থনীতি
105,আওয়ামী লীগ,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,ফেসবুক,অর্থনীতি
106,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,জনকণ্ঠ,স্বাস্থ্য
107,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,জনকণ্ঠ,রাজনীতি
108,আওয়ামী লীগ,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,পরিবেশ
109,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,প্রথম আলো,শিক্ষা
110,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,প্রথম আলো,পরিবেশ
111,জাতীয় পার্টি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,ফেসবুক,স্বাস্থ্য
112,আওয়ামী লীগ,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,পরিবেশ
113,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,সময় টিভি,শিক্ষা
114,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,জনকণ্ঠ,স্বাস্থ্য
115,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,প্রথম আলো,পরিবেশ
116,বিএনপি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,প্রথম আলো,রাজনীতি
117,বিএনপি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,ফেসবুক,শিক্ষা
118,জামায়াত,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,জনকণ্ঠ,শিক্ষা
119,আওয়ামী লীগ,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,সময় টিভি,অর্থনীতি
120,বিএনপি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,রাজনীতি
121,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,ফেসবুক,স্বাস্থ্য
122,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,অর্থনীতি
123,বিএনপি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,ফেসবুক,স্বাস্থ্য
124,জামায়াত,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,প্রথম আলো,রাজনীতি
125,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,ফেসবুক,পরিবেশ
126,জাতীয় পার্টি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,সময় টিভি,রাজনীতি
127,আওয়ামী লীগ,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,সময় টিভি,স্বাস্থ্য
128,বিএনপি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,পরিবেশ
129,জামায়াত,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,রাজনীতি
130,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,সময় টিভি,স্বাস্থ্য
131,জাতীয় পার্টি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,প্রথম আলো,স্বাস্থ্য
132,জাতীয় পার্টি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,জনকণ্ঠ,স্বাস্থ্য
133,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,ফেসবুক,পরিবেশ
134,জামায়াত,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,জনকণ্ঠ,অর্থনীতি
135,আওয়ামী লীগ,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,প্রথম আলো,পরিবেশ
136,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,শিক্ষা
137,আওয়ামী লীগ,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,প্রথম আলো,পরিবেশ
138,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,প্রথম আলো,অর্থনীতি
139,জাতীয় পার্টি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,প্রথম আলো,পরিবেশ
140,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,সময় টিভি,শিক্ষা
141,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,সময় টিভি,শিক্ষা
142,জামায়াত,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,অর্থনীতি
143,আওয়ামী লীগ,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,প্রথম আলো,পরিবেশ
144,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,জনকণ্ঠ,রাজনীতি
145,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,ফেসবুক,অর্থনীতি
146,জাতীয় পার্টি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,শিক্ষা
147,জাতীয় পার্টি,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,ফেসবুক,অর্থনীতি
148,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,স্বাস্থ্য
149,জামায়াত,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,জনকণ্ঠ,অর্থনীতি
150,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,জনকণ্ঠ,স্বাস্থ্য
151,জামায়াত,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,সময় টিভি,অর্থনীতি
152,বিএনপি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,সময় টিভি,রাজনীতি
153,জাতীয় পার্টি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,জনকণ্ঠ,রাজনীতি
154,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,সময় টিভি,শিক্ষা
155,জাতীয় পার্টি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,জনকণ্ঠ,স্বাস্থ্য
156,জাতীয় পার্টি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,প্রথম আলো,শিক্ষা
157,জাতীয় পার্টি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,সময় টিভি,শিক্ষা
158,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,পরিবেশ
159,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,সময় টিভি,অর্থনীতি
160,আওয়ামী লীগ,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,রাজনীতি
161,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,সময় টিভি,স্বাস্থ্য
162,জামায়াত,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,সময় টিভি,শিক্ষা
163,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,রাজনীতি
164,বিএনপি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,জনকণ্ঠ,পরিবেশ
165,আওয়ামী লীগ,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,জনকণ্ঠ,শিক্ষা
166,বিএনপি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,প্রথম আলো,স্বাস্থ্য
167,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,জনকণ্ঠ,শিক্ষা
168,জাতীয় পার্টি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,ফেসবুক,পরিবেশ
169,জামায়াত,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,সময় টিভি,শিক্ষা
170,জাতীয় পার্টি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,প্রথম আলো,শিক্ষা
171,জামায়াত,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,সময় টিভি,অর্থনীতি
172,জামায়াত,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,ফেসবুক,পরিবেশ
173,বিএনপি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,প্রথম আলো,পরিবেশ
174,বিএনপি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,ফেসবুক,পরিবেশ
175,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,স্বাস্থ্য
176,আওয়ামী লীগ,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,ফেসবুক,স্বাস্থ্য
177,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,সময় টিভি,রাজনীতি
178,জাতীয় পার্টি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,শিক্ষা
179,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,স্বাস্থ্য
180,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,প্রথম আলো,স্বাস্থ্য
181,জাতীয় পার্টি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,জনকণ্ঠ,পরিবেশ
182,জামায়াত,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,সময় টিভি,শিক্ষা
183,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,প্রথম আলো,স্বাস্থ্য
184,জামায়াত,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,রাজনীতি
185,জামায়াত,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,ফেসবুক,শিক্ষা
186,বিএনপি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,জনকণ্ঠ,রাজনীতি
187,বিএনপি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,ফেসবুক,রাজনীতি
188,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,স্বাস্থ্য
