cleaned,classes
করোনাভাইরাস থেকে সৃষ্ট রোগ কভিড১৯ বিশ্বব্যাপী একটি মহামারী হিসেবে হাজির হয়েছে  বাংলাদেশ ঘনবসতিপূর্ণ দেশ হওয়ার কারণে আমাদের স্বাস্থ্য ঝুঁকি অন্য অনেক দেশের চেয়ে বেশি,fear
বর্তমানের আবাল পরিচালকেরা কি এসব দেখে নাই কোন কালে  বর্তমানের মুভিগুলোর সাথে বাস্তবতার কোন সংস্পর্শ ই থাকে না ফাতরামিতে ভরপুর সব চলচিত্র😒,disgust
চিতাও তার দিকে এগোতে সাহস পাচ্ছে না দুদিনের অনাহারী চিতা কুকুরদের দেখে ক্ষুধার কথা ভুলে লেজ গুটিয়ে বনের দিকে ছুটে পালাল ক্ষুধা পরে আগে জীবনটা তো বাঁচাই,fear
পরিবারের সবাইতো ভিষণ খুশি যা হইছে ভালোই হইছে,joy
রানী মেরি টিউডরের প্রেতাত্মা এটাআজ চেষ্টা করলাম অন্ধকার বাথরুমে গা ছমছম করছিলো,fear
ফুল গুলি সব ঝরে গেছেবাগান আজ শুন্য তোমার কথা মনে হলে লাগে যে বিষন্ন হঠাৎ করে হারিয়ে গেলে অজনা এক দেশে কেমন করে চলে গেলে হাওয়ার সাথে মিশে,sadness
প্রতিটি আধুনিক বিমান প্রতিরক্ষাব্যবস্থায় কমপক্ষে তিনটি অংশ থাকে একটি ক্ষেপণাস্ত্র ফায়ারিং ইউনিট যা বিমানটির প্রতিরক্ষা ক্ষেপণাস্ত্র ধারণ করে একটি অ্যাকুইজিশন রাডার যা একটি বিস্তৃত অঞ্চল অনুসন্ধান করে এবং কোনো হুমকি সম্পর্কে আগেভাগেই সতর্কবার্তা পাঠায় এবং একটি এনগেজমেন্ট রাডার যা লক্ষ্যবস্তু নির্ধারণ করে,surprise
আর  এত  টাকার  কাজই   বা  কিভাবে   করলো আজ  কাল  পার্লার  মানে  ডাকাত উনার  শরীর  কোথাও  ১২  হাজার  টাকার  কাজ  দেখলাম না ,disgust
বাঘের গর্জন না দিয়ে বিড়ালের মত মিউ মিউ করতে বলেন পারে শুধু জিম্বাবুয়ের লগে আর অন্য দেশের সাথে  তাদের খেলা দেখলে বিড়ালই মনে হয়😠😠,anger
নিত্যপ্রয়োজনীয় জিনিসগুলো নিয়ে একটু দুশ্চিন্তার কথাও বললেন এই অভিনেতা এই মুহূর্তে দেশের বাইরে যাওয়া নিয়েও সতর্ক অবস্থানে আছেন আফরান নিশো,fear
আমাদের ছোট্ট সুখের সংসার‌ আমরা দুজনেই খুব খুশী আফটার অল ভালোবাসার মানুষটির সাথে বিয়ে হয়েছে অখুশী হবার কি আছে,joy
তোমার শেষের টাকা আমি রেখে দিলাম এটা আমার সন্তানের প্রথম উপার্জিত টাকা এটা এক জন পিতার জন্য গর্বের একটা প্রাপ্তি এটা সৃতি হিসেবে আমি মৃত্যু পর্যন্ত সাথে রাখবো,joy
বয়স বেড়ে যায় চুল পেকে যায় বিচি ঝুলে যায় নদী শুকিয়ে যায় কিন্তু  আপনার মতো বাইন্ছোদ রিপোর্টার বাইন্ছোদ ই রয়ে যায় 😡,anger
সালমান খানকে দোষ দিয়ে কোন লাভ নেইকারণ সে অতিথি এবং সে এন্টারটেইনার তার প্রফেশন এটা তার কাজ এটাসুতরাং আওয়ামী পন্থী বলাটা যুক্তিযুক্ত নয়,disgust
মিথিলার রোস্ট চাইছিলাম যে মেয়েটা একটা ভালো ছেলের জীবন নষ্ট করে দিলো মা হয়ে নিজের বাচ্চা মেয়েকে মানষিক ভাবে সমাজের কাছে হেও প্রতিপন্ন করলো তাকে কিছু বললেন না,anger
বন্ধুরা যখন আমরা কোথাও চাকরি করি তখন আমাদের বস ছোট ছোট কারণে বা অনেক সময় কোন কারণ ছাড়াই আমাদের বকাবকি করেন রাগ দেখান সবার সামনে অপমান করেন ভালোমন্দ কথা শোনান ,anger
এখন পর্যন্ত বাংলাদেশের সবচেয়ে বড় আক্ষেপ হয়ে আছে নিউজিল্যান্ড ম্যাচটি বাগে পেয়েও সেদিন হারানো যায়নি কিউইদের অথচ সুযোগগুলো কাজে লাগাতে পারলে ম্যাচের ফলটা অন্যরকমও হতে পারত সেদিন,anger
কতো দিন পরে দাদারে দেখলাম আবেগে আপ্লুত হয়ে গেছি 😔🥰 ভালোবাসা রইলো বাংলাদেশ থেকে 🥰,joy
বাহ ভাই বাহসবশেষে বলতে হবে যে বাংলাদেশ কত বিচিত্র দেখ তার চিত্র আমি তো এখন class এর student হইয়া নিজেরে নিয়া গর্ববোধ করি question এর answer দিয়া,disgust
দেশ এর  মানুষই বুঝে  না  ওদের  জন্য  কি   ভালো  আর   খারাপ এগুলিরে  কি  বলবে  কিছুই  বলার  নাই  ইতালির  মতো  হলে  তারপরই  মজা  বুজবে এর আগে  না ,disgust
মনে রাখবেন পাপ তার বাপকেও ছাড়ে না এই দেশটাকে এই দেশের মানুষগুলোকে যারা শোষন করছেন তারা কখনো সময়ের পরিনাম থেকে বাঁচতে পারবেন না,anger
আবালের বাচ্চারা এভাবে কেউ ছবির ট্রেলার বানায় অশিক্ষিত মূর্খ  আপনারা গিয়ে গুলিস্তানের ফুটপাতে কাপড় বিক্রি করেন,anger
সাহিত্যের সাথে টাকা পয়সার নাগপাশ লেনদেন হয় এ আমার জানা ছিলো না তাই বলে প্রকাশকদের টাকার প্রয়োজন তা আমি বলতে চাচ্ছি নাকি রেখে যাচ্ছেন ভবিষ্যৎ প্রজন্মের জন্য কি ছাপাচ্ছেন তা কি পড়ে দেখার ও প্রয়োজন বোধ করছেন না,disgust
তবে একজন নিরপেক্ষ ত্রিকেট ফ্যান হিসিবে Sakib এর Saxena র গায়ে প্রায় বল মেরে দেওয়া এবং আউট করার পর Bishnoi এর গালি দেওয়াটা খুবই দৃষ্টিকটু লেগেছে,disgust
জাপানিরা যখন জানতে পারল তাদের ডায়মন্ড প্রিন্সেস জাহাজের আরোহীদের কেউকেউ করোনা ভাইরাসে আক্রান্ত তখন প্রায় চার হাজার যাত্রীবাহী জাহাজকে আর জেটিতে ভিড়তে দেয়া হয়নি মাঝ দরিয়ায় কোয়ারেন্টাইনে রাখা হয় যাত্রীদের কেবিনের জানালা সিলগালা করা বাহিরের আলোবাতাসের দেখা মিলছে না কক্ষ পরিষ্কার নিজেদেরই করতে হয় তবে কাপড় ধোঁয়া নিষেধ আক্রান্ত ব্যক্তিকে অন্যদের থেকে এক মিটার দূরত্ব বজায় রেখে চলতে হয়,sadness
মুহাম্মদ নামক একজন সিরিয়ান ভাই বলতেছেন  আমার চোখের সামনে আমার ছেলে হামজা আমার ভাইয়ের ছেলে কাতাদা এবং আমার বোনের ছেলে ওমর এবং মুয়াজ কে তারা হত্যা করেছে,sadness
ওবাইদুল কাদেরজাহিদ মালেক বার বার বলছে করোনার চেয়ে আওয়ামীলীগ বেশি শক্তিশালীকরোনাভাইরাস কোভিড১৯ এর মোকাবেলা করতে প্রস্তুত তারাআর বাস্তব এ এসে এখন প্রতি হাসপাতাল এ পর্যাপ্ত সরঞ্জাম নাইএদের কে কি জনগন গণপিটুনি দিতে পারে না🤬🤬🤬,anger
শিয়াল কুকুরের বাচ্চা রা কি কি শুরু করলো সামান্য এই একটা জিনিস নিয়ে,disgust
আজ সেজান তাঁর কাছে নেই কিন্তু তিনি ভ্রমনে গেলেই এই খেলাগুলো খেলেন যেমন এই বাঘেরপাড়ার বাসে উঠে তিনি চোখ বন্ধ করে গন্ধের খেলাটা খেলছেন কিছুক্ষন ধরে লিচুর হালকা গন্ধ তাঁর নাকে আসছে শীতকালে লিচু আশ্চর্য তো ,surprise
গতবছরের ৩১ ডিসেম্বর এই শহরে নিউমোনিয়ার মতো একটি রোগ ছড়াতে দেখে প্রথম চীনের কর্তৃপক্ষ বিশ্বস্বাস্থ্য সংস্থাকে সতর্ক করে,fear
ফাউল নাটক এই নাটক থেকে কি শিক্ষা পাবে মানুষ বাস্তবতার সাথেও মিল না আজাইরা কাহিনী দিয়ে নাটক লম্বা করে,disgust
কাউকে পেয়ে হারানোর ব্যাথা যে পায় সেই জানে,sadness
স্ত্রীর ফোন রিসিভ করে শোনেন তিনি বলছেন তোমাকে এখুনি বাড়ি ফিরে আসতে হবে এখুনি ভদ্রলোক কোন কথা বাড়ালেন না বুঝলেন কোন একটা সমস্যা হয়েছে তিনি বাড়ির দিকে রওনা হলেন,fear
তুমি আমার হৃদয়ে যদি থাকো একদিন যানি কাছে আসবে যানি আমাকেই শুধু ভালবাসবে,sadness
মনন লিভিং রুমে এসে থমকে দাঁড়াল কারণ সেখান থেকে বের হয়ার কোন রাস্তা নেই ,surprise
এইদিকে আমার পরিবারের লোকজন তো খুব চটে আছে মেয়েটার উপর,anger
হোগায় ক্যাঞ্চার ধরা পড়েছে এখন এমনিতে চলে যাবে,anger
এই শালী দেশের জন্য একটা ক্ষতিকর তার ফাসি চাই এবং তার রিমান্ড হোক দশ দিনের এত টাকা এবং যৌনো লুপ্ত মেয়ে দিয়ে এই পাপিয়া মৃত্যু দন্ড দেশেবাসি চায় কারণ সে একজন মেয়ে হয়ে এত কম কান্ডে জড়িত কথা শুধু পাপিয়ার ফাসি চাইদানব মাগীদুনিয়ায় থেকে বহিষ্কার করা উচিত আমি মনে করিতার ফাঁসি চাই,anger
যদি কর সুখের আশা ভালোবেসো না | ভালবাসা অতি কষ্ট এতে জিবন হয় নষ্টভালবাসার শেষ ফল বুকে ব্যাথা চোখে জল হায়রে ভালবাসা ,sadness
মেয়েটার ব্যবহারে বোঝা যায় সে কতোটা নিচু এবং বেপরোয়া  এই রকম কিছু মেয়েদের জন্য গোটা মা জাতী আজ লজ্জিত ,disgust
বিশ্বের সবচেয়ে নেতৃস্থানীয় সংস্থা জনসাধারণকে এই তথ্যটি কীভাবে লিক করেছে তা আশ্চর্যজনক,surprise
আমরা শুধু ভারত থেকে আমদানি করবো কেনঅন্য দেশ থেকে আমদানি করতে পাছেনা কেনদেশের কৃষক ন্যায্য মূল্য পাচ্ছেনাতারা উৎপাদন করবে কিভাবেভারত পেঁয়াজ বন্ধ করে দেখালো তারা বাংলাদেশকে যেকোনো সময় বিপদে ফেলবে,disgust
ইতের হালার পুয়ালা আর লই বলে রাগ গইজ্জে দে,sadness
রিপোর্টার ভাই গাজা খাইছেন নাকি ঠিকানা যখন উনি জানেন তাহলে উনাকে যাওয়ার ব্যবস্থা করে দিলেই তো হয়,disgust
দীর্ঘ প্রতিক্ষার পর আগামী জুন ২০২০ থেকে বাংলাদেশ ওয়াশিংটন একর্ডের পূর্ণ স্বাক্ষরকারীর মর্যাদা পাচ্ছে তার মানে জুন২০ থেকে আমাদের প্রকৌশলীদের degree assessment এর জন্য অন্য কোনো দেশের দ্বারস্থ হতে হবেনা ঢাকার আইইবিতেই তা করা হবে ওয়াশিংটন একর্ডে স্বাক্ষরকারী অস্ট্রেলিয়া ইংল্যান্ড ও আমেরিকার মত দেশগুলো এখন আইইবির assessment গ্রহন করতে বাধ্য থাকবে এই অর্জন হাজারো বাংলাদেশী প্রকৌশলীদের উচ্চশিক্ষা অভিবাসন সহ স্বপ্ন পূরণের দুয়ার খুলে দেবেউল্লেখ্য আইইবি অস্ট্রেলিয়া চ্যাপ্টারের নেতৃত্ব এবং ঐকান্তিক প্রচেষ্টার জন্যই বলতে গেলে এটা সম্ভব হয়েছে সাথে কেন্দ্রীয় আইইবি প্রধান প্রকৌশলী সবুরের অকুন্ঠ সহযোগীতাতো ছিলই অভিনন্দন সবাইকে,joy
পানি যেন বেশিদূর না গড়ায় তাই অলিম্পিয়াস একজন শিষ্যকে ঘুষ দিয়ে বিয়ের অনুষ্ঠানেই নিজের স্বামীকে খুন করালেন অন্যদিকে সতীন ক্লিওপেট্রাকেও মেরে ফেললেন বিষ খাইয়ে,sadness
যে সম্পর্ক ভেঙে যাবার পর মানুষ অপেক্ষাকৃত অধিক ম্যাচিউর না হয়সে সম্পর্ক কস্মিনকালেও কোনো সিরিয়াস সম্পর্ক ছিল না,anger
আমি জানি না কেনো আমার প্রচন্ড ভালো লাগছে এটা দেখে 😍 আন্টির কলিজা টা কত খুশি হইছে সেটা ভাবতেই নিজের আনন্দ হচ্ছেআপু তুমি মায়ের দোয়ায় অনেক অনেক ভালো থাকবা ইনশা আল্লাহ সারাজীবন ❤,joy
আমি চমকে উঠে ওর হাত ছেড়ে দিলামসে মনে হয় আমার চমকে উঠা লক্ষ করেনি,surprise
বালাম কি ইলুমিনাতির সদস্য হয়ে গেছে ,surprise
তোমার চোখ ধাঁধানো আকর্ষণীয়তায় সবার মোহ কিন্তু ক্ষনিকের চিরস্থায়ী নয় তুমি যতই সুন্দরী রূপবতী গুনবতী শিক্ষিত মার্জিত ইত্যাদি হও না কোনো তার কোনো দাম নেই এই সমাজের চোখে পুরুষের কাছে,disgust
ডন সামদানি ফেরদৌস মৌসুমি ওনারা তো অন্যান্য প্রোগ্রামে ভাল ই করে এখানে এরকম করলো কেন বুঝতেছিনা চ্যাম্পিয়ন হওয়া মেয়েটা যোগ্য ই বলা যায় সে চট্রগ্রাম বিশ্ববিদ্যালয়ের ,surprise
বাড়িতে পরীক্ষার প্রস্তুতি ঠিকমতো হচ্ছিল না তাই ছুটি শেষ হওয়ার আগেই রোববার বুয়েটে ফিরে এসেছিলেন আবরার কিন্তু ওই রাতেই তাঁকে এমন নৃশংসভাবে জীবন হারাতে হবে তা তিনি ভাবতেও পারেননি গতকাল ঢাকা মেডিকেল কলেজের মর্গে,sadness
ভিন্ন ধরনের সন্ত্রাসী হামলা নতুন করে উদ্বেগের সৃষ্টি করেছে সারা বিশ্বে আর এটি হচ্ছে বন্দুকধারী কর্তৃক জনসম্মুখে কিংবা বিদ্যালয়ে অতর্কিত হামলা পরিসংখ্যান বলছে শুধুমাত্র মার্কিন যুক্তরাষ্ট্রেই গত এক দশকে এমন ঘটনা ঘটেছে বহুবার,fear
সত্যি একজন ভালো মানুষ,joy
ছবিটা দেখি আর ভাবি হায়রে আমার দেশের মানুষ৷ আমার মনে হয় কেউ ভাইরাস আক্রান্ত হয়ে মারা গেছে শুনলে তাকে দেখতে মানুষের ঢল নামবে৷ রাস্তায় পড়ে থাকলে সাহসী টেলিভিশন রিপোর্টার ক্যামেরাম্যান হামাগুড়ি দিয়ে সেই লাশের কাছে যাবে৷ লাইভ দেখাবে৷ পারলে লাশের সাথে কথা বলার চেষ্টা করবে৷ যেমন কিউট জনগণ তেমন মিডিয়া তেমন অথরিটি৷,anger
দেশের নামমাত্র নামীদামি মানুষেরা বিদেশে যেয়ে চিকিৎসা করাবেন আমরাকি মানুষ নাকি যে সরকার দেশে চিকিৎসা ব‍্যবস্থার উন্নতি ঘটাবেন উফফফফ কি বলেযে নিজেকে সান্ত্বনা দেই,disgust
হিংসা ও ঘৃণাকে দূরে সরিয়ে সাম্প্রদায়িক সম্প্রীতির হাত বাড়িয়ে দেয়ার আহ্বান জানান এই তারকারা,joy
অপুর্ব চিন্তা চেতনা রাত জেগে পর্ন দেখা ছেলেটাও তার বউকে বোরকা কিনে দেয় রাস্তায় দাড়িয়ে মেয়েদের টিজ করা ছেলেটা ভদ্র মেয়ের আশায় থাকে,disgust
ভালোবাসাযুক্ত ভালোবাসা নিবেন ভাই এক্সাম দিয়ে এসে মন খারাপ ছিল এই ভিডিও দেখে অনেকটা খুশি হয়ে গেলাম ধন্যবাদ রাকিব ভাই 😍😍,joy
চট্রগ্রামবাসী‌কে  বলছি  ঢাকা বি‌রোধী ক‌ঠিন আন্দোলন গ‌ড়ে তুলুন   বাংলা‌দে‌শের রাজধানী অন্যত্র স‌রি‌য়ে‌  নেওয়া হোক   ঢাকা‌কে বয়কট করুণ  ,anger
ওহে কাবার মালিকতুমি ভারতের সকল মুসলমানদেরকে হেফাজত করোআমিন,joy
আমি কল্পনায় ভাসি তুমি ভালোবাসো বলে আমি সুখের মাঝে হারাই তুমি ভালোবাসো বলে আমার সকাল শুভ হয় তুমি ভালোবাসো বলে তাইতো তোমায় আমি জানাই শুভ সকাল,joy
বিদেশে অর্থ পাচারে ১২৮টি লেনদেনের ঘটনা শনাক্ত করা হয়েছে এর মধ্যে ২৮টি ঘটনায় মামলার পর শুরু হয়েছে তদন্ত কার্যক্রম বাকি একশটি লেনদেনের ঘটনার ওপর নজরদারি করছে সরকারের বিভিন্ন সংস্থা প্রমাণ সাপেক্ষে এসব লেনদেনের ঘটনা নিয়ে পরবর্তী আইন ব্যবস্থা নেয়া হবে,disgust
শেষ বার দম বন্ধ হয়ে যাওয়ার সময় পানিতে কি খুব কষ্ট পাচ্ছিলি ভয় লাগছিল তোর অনেক দিন এগুলা ভেবে আমি ইনতি চিতকার করে কাদতাম,sadness
সারাজীবন এমন মিষ্টি গল্প শুনেই সন্তুষ্ট থাকতে হবে দুর থেকে অন্যের ভালোবাসা দেখা ছাড়া আর কিছুই করার নেই সবার জীবনে ভালোবাসা আসে না সবার কপালে এই সুখ লেখা থাকে না  ছাত্রজীবন থেকে যদি জানতাম যে ভালোবাসা নামের কাঙ্খিত সেই অনুভূতি আজীবন অধরাই থেকে যাবে তাহলে সব কিছু বাদ দিয়ে আগে অনেক টাকা আয়ের দিকে মনোযোগ দিতাম তাহলে হয়তো এই বয়সে এসে সেই টাকা দিয়ে খুব ভালো না হোক অনন্ত যেমন তেমন একটা ভালোবাসা কিনে একবারে নিজের করে করে রাখতে পারতাম ,sadness
কষ্ট বুকে চেপে একলা থাকি কান্নার নোনাজল অধরে মাখি লাভ কি বৃথা মনে কষ্ট চেপেআয় না ফিরে তুই আমারি বুকে,sadness
বিস্ময়কর হল ঈশ্বরে অবিশ্বাসী স্টিফেন হকিং প্যালেস্টাইনের প্রতি ইসরাইলের বর্বরতার কারণে ইসরাইলের একটি অনুষ্ঠানের আমন্ত্রণ অস্বীকার করে তোলপাড় সৃষ্টি করেন,surprise
গ্যালারির দর্শকদের সমর্থিত উল্লাসে পারভেজ ইমন শত ব্যাথা নিয়েও জয়ের নেশায় নিজেকে উৎসর্গ করে দিয়ে জয় ছিনিয়ে এনেছে পারভেজ ইমনের এমন ভালোবাসা বাংলার ক্রিকেট প্রেমিরা ভুলবে না,joy
কিন্তু এদের উপরে বসে থাকা সমাজবিজ্ঞানী সুশীল সমাজ যাদের আন্ডারে এই পেশাগুলা মানুষের সব কাজসেখানে হাত দেয়ার সাহসটা কারো আসেনা,disgust
জলমগ্ন এলাকায় ছিল পাইপ কিন্তু যন্ত্র দেখা যাচ্ছিল না খোঁজাখুঁজির একপর্যায়ে টিলার ঢালের ঝোপঝাড়ের মধ্যে পাওয়া যায় সদ্য খোঁড়া মাটি সেই মাটি খুঁড়তেই দেখা গেল লুকিয়ে রাখা হয়েছে পাথর উত্তোলনের অবৈধ যন্ত্র বোমা মেশিন,disgust
সরাসরি বলছে বলিদান হয়ে যাবি এই ছেলে ক্যাম্পাসে আসলে যদি কোন সমস্যা হয় তাহলে এর দায় দায়িত্ব কে নিবেপ্রশাসনের উছিত এখনি মারমা সন্রসীকে গ্রেপাতার করা,disgust
মাহতিম ভাই এ সময়ের একজন তরুন শিল্পী কন্ঠে দরদ মধু আছে প্রচুর শুভকামনা রইল 👍👍,joy
আস্তে আস্তে উফফ মায়ের মতো বকতেছো দেখি তোমার মেয়েটা তোমার মতোই আইলসা হইছে,disgust
গল্পের গরু আকাশে চড়িয়ে হিংসাত্মক কিছু দৃশ্য দেখালেই সেটা একটা মানসম্মত হরর সিনেমা হয়ে যায় না এসব ক্ষেত্রে অনেক দর্শক উল্টো বিরক্ত হন,disgust
তোর আমার আর ইন্তির পড়ার টেবিল ঘুমানোর বিছানা গান গাওয়া বিকাল গুলা ফাকা হয়ে গেল,sadness
ফের একবার বিয়ের পিঁড়িতে বসতে চলছেন জনপ্রিয় অভিনেত্রী জুন মালিয়া শোনা যাচ্ছে দীর্ঘদিনের বন্ধু তথা ব্যবসায়ী সৌরভ চট্টোপাধ্যায়ের সঙ্গে সাত পাকে বাঁধা পড়তে চলেছেন জুন সূত্রের খবর আগামী ১ ডিসেম্বর হতে চলেছে বিয়ের জুনসৌরভের বিয়ের অনুষ্ঠান,surprise
বন্দি পটল তোলার আগে কাজ সেড়ে নেয়ার জন্য যথেষ্ট সময় যেন আমি পাই ওদের নিষ্ঠুরতায় ভড়কে গেলাম আমি,surprise
তিন বছর আগে হোলি আর্টিজান বেকারিতে জঙ্গি হামলা ও নৃশংস হত্যাযজ্ঞের ঘটনায় করা মামলার রায় আজ বিচার শুরু হওয়ার এক বছরের মাথায় বহুল আলোচিত এই মামলার রায় ঘোষণা করতে যাচ্ছেন ঢাকার সন্ত্রাসবিরোধী বিশেষ ট্রাইব্যুনাল,joy
শিশুটি হয়ত আর দশদিন বাঁচবে তবে শেষটা ক্রিকেটের সাথেইপাঁচ বছরের ছোট্ট শিশু স্ল্যাটার ওয়াকার যেকোনো দিন পৃথিবীর মায়া ত্যাগ করে চিরতরে চলে যেতে পারে ক্যান্সার আক্রান্ত শিশুটি,sadness
আমি আর ত্রয়ী খেতে বসলাম মহিলাটি খেতে দিচ্ছে মহিলাই তো আমার থেকে নিম্নে হইলেও তো ৭ বছরের বড় সে না কি আমার বউ যত্তসব,disgust
মাতাল হাওয়া মাতিয়ে দিয়ে যাক বাংলার সকল প্রাণে ছুঁয়ে দিয়ে যাক আনন্দের পরশ বৈশাখের আগমনে,joy
শালার মনে কয় অগোর সবগুলার গলায় শেকল লাগাইয়া বেইচা দেই বান্দর ওয়ালার কাছে তারপর সেই টাকা দিয়া পেঁয়াজ কিনুম,anger
আগে অনিচ্ছাকৃত ভাবে শুনলেও এইবার আমি ইচ্ছা করেই কান পাতলাম বোঝার জন্য যে আমি কি ঠিক শুনছি  নাকি আমার কোন হ্যালুসিনেশন হচ্ছে  ,surprise
কিন্তু আমাদের দেশের ডাক্তাররা শর্ত দিয়ে কাজে আসবে এটা কোন ধরনের যৌক্তিকতা মানবিকতাএই যুদ্ধ ডাক্তারদেরসবার যদি ক্ষমতা থাকতো এই যুদ্ধে লরার তাহলে কেউ বসে থাকতো না ১৯৭১ সালের মত,disgust
জাতীয় অধ্যাপক ড আনিসুজ্জামান বলেছেন যারা প্রতিবন্ধী তাদের প্রতি সমাজের একটা বিশেষ দায়িত্ব আছে কিন্তু সেই দায়িত্ব সম্পর্কে আমরা খুব সচেতন নই সচেতন হলে তাদের কল্যাণে অনেক প্রতিষ্ঠান ও সংগঠন গড়ে উঠত,sadness
 জিম্বাবুয়ে আফগানওমানহংকং এর সাথে জেতার থেকে ওদের সাথে হারলে বেশি খুশি হই এখন😐কারণ বর্তমান টিম এটাই ডিজার্ভ করে এখন,disgust
সেই কিছু করার তাড়না থেকেই কলম হাতে তুলে নিয়েছেন বাংলা রকের আরেক কিংবদন্তি মাকসুদুল হক মাকসুদের লেখা হিস্ট্রি অব বাংলাদেশ রক দ্য লিগেসি অব আজম খান,joy
তাহসান ভাই আর বালাম ভাইয়া র মানে কনো কথা নাই অনেক অনেক অস্তির গান গুলো,joy
এখন তো বইয়ের নাম দেখেই চোখ কপালে ওঠে গতবার দেখলাম কিছু বইেয়র নাম  দুধ চা খেয়ে তোকে গুলি করে দিবো ভাল্লাগেনা বান্ধbi আহ কি নাম পাঠককে আকৃষ্টও করেছে বটে কোমলমতি নতুন উঠতি পাঠক যাদের গণমাধ্যমে প্রায়ই দ্যাখে ভাইয়েরা দাঁত বের করে করে প্রায়ই পণ্ডিত বিদ্যাসাগরের মতো উপদেশ বিলোন তারা যখন লেখক হয়ে কিছু নিকৃষ্ট তথাকথিত কথাসাহিত্য তৈরি করেন তখন তো তারা বেশ লাইনে দাঁড়িয়ে কেনা শুরু করবেনই এ যেন মহা ঔষধ খাইলেই সমস্যা সমাধান,sadness
কইও কইও কইওরে ভ্রমর কৃষ্ণরে বুঝাইয়ামুই রাধা মইরা যাইমু কৃষ্ণহারা হইয়া রেভ্রমর কইও গিয়া,sadness
আমি ওকে খাবার খাওয়ার কয়েকবার ডেকেছি ও শোনেনি তারপর নিচে চলে আসি একটু পর দেখি ও রুমে আসে কিন্তু হঠাৎ ই ও কেমন দানব হয়ে যায় আর আমাকে মারতে আসে আমি নিজেকে ছোটানোর আপ্রাণ চেষ্টা করি,fear
ভাইয়া আমি আপনার সাথে রাগ করসি আর ভিডিও দেখবনা কারন আপনার বিয়েতে যাওয়ার আমার অনেক ইচ্ছা ছিল কিন্তু যেতে পারিনাই নাই আপনি ফেসবুকে একটু লাইভেও আসেন নাই,sadness
আশ্চযের বিষয় সে রাতের পর ঐ ছেলেটিকে আর কোনদিন আমাদের ছাদে দেখা যায়নি সে রাতে অবশ্য আরেকটি ঘটনা ঘটেছিল সেটি হলো আমাদের পাশের বাসার রবিন চাচ্চু মারা গিয়েছিলো ,surprise
ঘটনা যাই ঘটুক না কেনো রানাকে ধিক্কার দেওয়ার ঘৃন্না করার ভাষাও আমার জানা নেই এমন কুলাঙ্গার সন্তানদের সুখশান্তি বলতে কোনকিছু আছে কিনা তাও আমার জানা নেই,disgust
প্রাথমিক পিইসি ও ইবতেদায়ী শিক্ষা সমাপনী পরীক্ষার নির্দেশনার শিশুশিক্ষার্থীদের বহিষ্কারসংক্রান্ত বিধানটি বাতিল করা হয়েছে,joy
পুলিশ এ  দিলেই  হয় নিজেরাই  বিচার  শুরু  কইরা  দিসে জানোয়ার  এর  বাচ্চাদের  হাত  দিয়া  বাচাইছেন   আপনি  ছেলেটাকে ,disgust
